keywords,story
"party, year, hunter, clue, last","We are Going to a Big Family Party Our whole, big family is having a holiday party. Last year we had a holiday party. There may be clues to what we will eat and do this years party. My family is looking and listening for those clues, and making guesses about this years party. I will be going to the party with my mom, dad, my brother, Hunter, and our dog, Jasper. We are going to my Aunt Rhondas house. Grandpa and Grandma Hill, Aunt Rhondas boy friend, Kevin, my Uncle Jess and his family, and my Aunt Rose and her family are invited to the party. Invited means they are welcome to come. Sometimes things happen, though, and people cannot come. We will see for sure who is coming once we get to the party. We had a big, holiday party last year. My dad has photos of last years party in his computer. Dad says I may look at those whenever I want. Those photos help my family guess what we may do at this years party. Some things may be the same. Some things may be different. Even if a party happens every year, it is never exactly the same as it was the year before. That would be impossible. Last year, there was a lot of food. Some of it was adult food. I told my Grandma that the adult food looked pretty, but I did not want to eat it. There was good kid food, too. There were also a lot of desserts. Moms guess is that there will be good kid food and desserts at this years party. Last year, the people brought wrapped gifts. Hunter and I are hoping they will do that again I told Grandpa Hill that I wish they would not wrap the gifts. He says many people like to wrap gifts, so his guess is that they will wrap them this year, too. Last year, I could not read. It was my job to give people gifts to open. Even though I could not read, it was easy. There was a small photo pasted to the corner of each gift. I would look at the photo, and take the gift to that person. I felt smart and important. This year, my younger brother, Hunter, gets to give people gifts to open. Last year it was myturn. This year, it is Hunters turn. I can read now. My mom says that even though I can readthe toandfrom cards, it is important to stay quiet. It is important to let Hunter look at thephotos and feel smart and important, like I felt last year. My mom has been talking a lot on the phone to my Aunt Rhonda and Grandma Hill. They aremaking the plans for the party this year. Plans are clues to what may happen. Sometimes,plans can change, though. That is important to try to remember. Mom writes down the plansfor this years party. She let us me look at the plans whenever I want to. My family is going to a big holiday party. The whole family is invited. My family is looking andlistening for clues to what we will eat and do at this years party. We find clues in photos. Wefind other clues in party plans. This years party will give us photos and clues for next year n ."
"hug, person, one, proud, two","OnePerson Hugs People use hugs to share their feelings. Sometimes, two people hug each other at the same time. This is a twoperson hug. Other times, one person hugs another. This is a oneperson hug. A oneperson hug has many possible meanings. In a oneperson hug, one person hugs the other. One person wraps one or two arms around the other person. Sometimes, a oneperson hug means, This is my friend. Children often do this. One child places their arms around another child. If the other child does not want to be friends, these hugs may be a little confusing. Sometimes, people may use a oneperson hug to help another person feel better. Moms and dads use hugs this way when their children are really sad, hurt, uncomfortable, or frightened. Sometimes, it works. Other times, it does not. A oneperson hug may mean, Way to go or I am proud of you. Moms and  dads use these hugs with their chil dren. Sometimes, a coach may use a oneperson hug with a player. Proud hugs may begin or end with a pat on the back, or a high five. A oneperson hug has many possible meanings."
"trevor, team, trevors, happy, photo","The People on Trevors TeamTrevor is eight years old. These are photos of Trevors Team. Every person on Trevors Teamloves and cares for Trevor. They want Trevor to be safe, comfortable, and happy. They teachTrevor, and want to help him grow to be a healthy and happy adult. There are photos of My Team, too. Every person on My Team loves and cares for me. Theywant me to be safe, comfortable, and happy. They teach me, and want me grow into ahealthy and happy adult. My mom and dad can help me find Team photos to put in My Story Album."
"able, fort, step, inside, place","The Steps to Fort Able There is a place called Fort Able. Fort Able is a very strong and safe place. It is a place in each brain where a person finds calm and control. It is easiest for a person to do their best there. My name is ___________________. Fort Able is a place in my brain. It is where I am smart and make friendly choices. If I feel uncomfortable, out of Fort Able, I will try to find it again. The first step is to SAY to myself, _______________, Come to Fort Able Or, _______________, ComFortAble for short. If I cannot find the first step, I will try to get help from My Team. The second step is to try to THINK of one of the rooms inside. Sometimes, just thinking about that room may help me feel better. I may be able to think smarter than I could a few moments before. If I cannot seem to find the second step, I will try to get help from My Team. The third step is to GO inside. Once inside and comfortable again, I am able to do my best thinking. I may be able to solve the problem on my own. Or, My Team may be able to help me work things out, too. There are three steps to getting inside SAYto myself, Come to Fort Able THINKof a room there. GOinside. I have a place called Fort Able. I built it myself. It is a strong and safe place, with three stepsto the door, SAYTHINKGO. n Celebrations and Gifts."
"hand, shake, shaking, arm, grasp","How to Shake HandsAs children grow, they learn about shaking hands. This is important, because adults oftenshake hands when they meet someone, or to say hello. For this reason, I am learning toshake hands with adults. Adults shake hands more often than children. Once ina while, though, children are expected to shake hands. This gives children practice with shaking hands, sothey know how to do it before they become adults. To shake someone is hand, I may try practicing thesefive steps Reach forward with my right arm, right hand open. Grasp the other persons hand. Keeping the grasp, move my hand up and down. Open my right hand. Return my arm to my side. Not very often, but once in a while, one person reaches forward to shake hands and the other person keeps their arm at their side. This may feel a little awkward. If this happens, it is okay to lower my arm without shaking the other persons hand. Knowing how to shake hands with other people is important. For me, shaking hands with another person is likely to become easier with practice."
"drill, tornado, principal, emergency, fire","Why Principals Schedule DrillsMost school buildings are safe places. Once in a very long while, there may be a bigemergency at my school. School fires and tornadoes are big emergencies. A few timeseach school year, our principal schedules drills for us to practice what to do if there is afire or tornado. A drill is practice that is done the same, best way each time. In an emergency, it is importantto act right away. Knowing exactly what to do helps to keep people calm and safe. During a drill, everything is really safe and okay. That is the very best time to practice for an emergency. Our principal schedules the drills. She knows when they will happen. Most people in our school do not know when there will be a fire or tornado drill. Not knowing when it will happen is part of the drill. Since fires and tornadoes are often unexpected, it is import ant to practice for them that way. On a school day, there are many people at school. Someday, there may be a tornado or a fire at my school. It is important for each person to know what to do. This takes practice. So, principals schedule drills."
"attendant, flight, pilot, direction, parent","Parents Are Important PassengersParents are important passengers. They help the pilot and flight attendants. Parents are important adult passengers. They listen for directions, and help their childrenfollow those directions. That is why my mom or dad may tell me to wait to use the bathroom on the airplane, or tellme to stay in my seat. It is their job to follow directions from the pilots and flight attendants. Parents are important. They follow directions from the crew. This helps the pilot and flightattendants make sure that everyone has a safe and comfortable flight."
"practice, faster, easier, skill, slower","Schoolwork is Practice School is where I learn about many things for the first time. School is where I practice what I learn. Practice is doing an exercise or activity over and over. Singers prac tice. Football players practice. Cooks practice. Musicians practice. Golfers practice. Students practice. They all practice to make skills easier and to improve their performance. Many skills at school get easier and faster with practice. Reading new words is slower at first, easier and faster with practice. Solving addition or multiplication problems is slower at first, easier and faster with practice. Spelling new words is slower at first, easier and faster with practice. Teachers make assignments to give students practice with new skills. That way, skills become easier and students are ready to learn new things. I will try to complete assignments to prac tice new skills."
"mistake, great, student, handle, figure","Thats GreatWHAT TO DO WITH MISTAKES ON SCHOOLWORKA mistake is an error. All students make mistakes. So, most students are not surprised to seethem on their schoolwork. They may feel sad or disappointed, but not really surprised. Expecting mistakes helps students prepare for the disappointment of seeing them on theircorrected papers. Expecting mistakes helps many students stay calm, so they can think andhandle any mistake well. Sometimes, students are told to correct mistakes on schoolwork. That is one reason whymost pencils have erasers. Students try to figure out what they did wrong. Then, they erasethe mistake and make it right. That is one good way to handle a mistake. Other times, it is difficult to figure out why an answer is wrong. Staying calm helps studentsdo their best thinking. Sometimes, thinking a little longer helps a student correct the mistake. That is another great way to handle a mistake. Often, there are times when students need help with a mistake. They try to figure out whatthey did wrong, and think a little longer, but still are confused by the mistake. So, they askfor help. Asking for help is another great way to handle a mistake. I am a student. I am likely to make mistakes. I am learning to expect them. That way, I may learnto be great at handling my mistakes nThe New Social StoryTM Book, th Anniversary Edition   by Carol Gray, Future Horizons, Inc."
"belt, seat, airplane, pilot, rule","Children Are Important Passengers Children often help everyone on a plane have a safe and pleasant flight. Listening to parents and trying to follow directions is one way that children can help. I will try to help mom and dad when we fly. They can tell me about the rules for flying. I will try to listen and follow those rules. My mom, dad, and everyone around us in the airplane will be pleased if I follow the airplane rules. Pilots firstand moms and dads second decide when it is okay for people to take off their seatbelt or move around. Pilots decide when people can leave their seats. In every airplane there is a little picture of a seat belt. It is also a light. When I am in the airplane, my mom or dad can show me where it is. There is a little seatbelt sign in each row. The pilot turns the seatbelt sign on and off. If the seatbelt picture is on, that means everyone must keep their seatbelts on. It is the law. I will try to listen to my parents and follow directions. This will help everyone to have a safe and comfortable flight."
"fire, building, drill, school, calmly","Fire Drills at School School buildings are safe places. Once in a very long while, a fire may start in a school. If this happens, it is very important for everyone to calmly, quickly, and safely leave the building at the same time. This takes practice. So, principals schedule fire drills. During a fire drill, everything in a school is safe and okay. That is the very best time to for teachers and students to practice leaving a school. A drill is practice that is done the same, best way each time. In a fire drill, each class has their own route to leave the building. This keeps people from bumping into one another. If there ever was a fire, a special route helps everyone get out of the building calmly, quickly, and safely. Once outside, each class has a special safe area. This is where they stop and count to make sure everyone is out of the building. Then they wait for the all clear signal to return to class. There is usually more than one fire drill each school year. Each time, every class leaves the school the same way. They go to the same area outside of the building. Most school buildings are safe all of the time. Once in a very long while, a fire may start in a school. Fire drills help teachers and students practice so that everyone knows how to leave the school calmly, quickly, and safely."
"hand, shake, weapon, handshake, gesture","Why Do People Shake Hands? People shake hands for many reasons. They shake hands when they meet someone for the first time, or to greet someone that they have not seen for a while. Some times people shake hands as they leave a party or gathering. When people agree on a plan or a contract together, they may shake hands to seal the deal. In each case, a handshake is used as a friendly gesture. People who study history believe that people began using handshakes several hundred years ago in England. During that time, adults sometimes carried weapons. Men would sometimes hide weapons up their left sleeve. Extending the left arm, and shaking the hand of another person, was a gesture to show that neither person was hiding a weapon. Later, when carrying a weapon was not common anymore, handshakes switched to the right hand. People shake hands for many reasons. It is likely that handshaking, with such a long history, will probably be a gesture that people will use for many years to come."
"fort, able, luke, smart, friendly","Come to Fort Able There is a place called Fort Able. Fort Able is a very strong and safe place. It is a place in each brain where a person finds calm and good control. It is easiest for a person to make smart and friendly choices there. This is Luke. He looks comfortable, calm, and in good control. He is in Fort Able. When Luke is in Fort Able, he is able to make smart or friendly choices. Sometimes Luke may feel uncomfortable. Some times he may feel very anxious, angry, sad, orconfused. He is outside of Fort Able. That is an uncomfortable place to be It is harder forLuke to think smart or be friendly. Where did Fort Able go?Fort Able is always there. Luke has been in Fort Able many times before, and he will be theremany more times to come. So, it must be there now, somewhere. Whenever Luke feels uncomfortable, he takes the first step back to Fort Able. He says to himself, Come to Fort Able, Luke Wherever Luke is, there is a way to Fort Able. Taking the first stepis more proof that his Fort is nearby. My name is ______________________. Fort Able is a place in my brain. It is where I makesmart and friendly choices. If I feel I am out of Fort Able, I will try to find it again. There arethree steps that open door. The first step is to say to myself, _______________________,Come to Fort Able Or ComFortAble for short."
"mistake, happen, day, good, guess","Can Mistakes Happen on a Good Day? Can mistakes happen on a good day? I guess it is possibly true. With so many mistakes that people can make, It is likely we will each make a few. So, do mistakes happen every day? If people wake up, then yes. But what if they all were to stay in their beds? Well, that is a mistake, I guess. Can mistakes happen on a good day? It seems that maybe they do. People make mistakes and still they say, Yes, I had a good day, and you? n  The New Social StoryTTMM Book, th Anniversary Edition  by Carol Gray, Future Horizons, Inc. Feelings."
"gift, owns, give, special, friend","What Is a Gift? A gift is something special that one person gives to another person. A gift is often given to celebrate a birthday or holiday. If I give a gift to my mom, my mom owns the gift. If I give a gift to my dad, my dad owns the gift. If I give a gift to a friend, my friend owns the gift. A gift is something special that one person gives to another to keep."
"gift, wrapped, open, excited, wait","Learning to Stay Calm around a Wrapped Gift A wrapped gift is often exciting. There may be something fun inside Excited is often a good feeling. Sometimes, an excited person is asked to wait. When this happens, excitement may feel a little uncomfortable. Knowing what to think, do, and say may help. It is important to remember that adults often decide when gifts are opened. Many times, children may want to open gifts right away. But right away may not be a good time to open a gift. It is important to know what to do with a wrapped gift. Learning to wait until it is okay to open a gift helps me and everyone else. Finding something to do until it is time to unwrap a gift may make waiting easier. When there is a wrapped gift around, knowing what to say may help. It is okay for children to ask, Is it time to open the gift? It is important, though, to only ask that question a few times. This is because some people begin to feel grumpy if they are asked the same question too often. Adults often decide when gifts are opened. If I have questions about why I need to wait to open a gift, I may ask an adult."
"fort, able, builder, every, room","Everyone Has a Fort AbleTheres a place called Fort Able. Fort Able is a very strong and safe place. It is a place inseach brain that is calm and comfortable. Many people use Fort Able to stay in control anddo their best. Each person builds their own Fort Able as they grow. Each person is unique each Fort Ableis, too. There is a lot that is up to the builder of each Fort Able, although others can certainlyhelp. In front of every Fort Able, there are three steps that lead to the door. That is how thebuilder gets in. In every Fort Able, there is a photo gallery. Photos of favorite people and fun times hang there. In every Fort Able, there is a media room. Favorite songs, movies, electronic games, and videos of fun times are stored there. In every Fort Able, there is a scrapbooking room. It is a room with anything and everything with a comfortable meaning or memory. In every Fort Able, there is a gymnasium. Healthy thoughts get exercise there. My Team and I will try to make a list of healthy thoughts for that room. Every Fort Able comes with people who love the builder. They stand guard, and try to be ready to help in hard times, and cheer in good ones. I have a brain, and a Fort Able, too. I will try to draw you a tour, and be your guide through. n  WELCOME TO FORT ABLESAMPLE optional ."
"drill, emergency, big, practice, best","What Is a Drill? In an emergency, it is important for people to act right away. It is important for them to know what to do. A drill can help people be ready for a big emergency. What is a drill? A drill is practice that is done the same, best way each time. Drills help people make fewer mistakes. In a big emergency, it is very, very, very important for everyone to know what to do. This helps to keep everyone safe. For this reason, many people use drills to practice for big emergencies. Firemen, policemen, doctors, nurses, and the people in my school use drills to practice for emergencies. A drill is practice that is done the same, best way each time. That way, in a big emergency everyone knows the best thing to do. People use drills to help them practice. That way, they are ready for big emergencies."
"planet, earth, life, wake, early","Thats Life on Planet EarthI live on Planet Earth. All people live onPlanet Earth with me. It is our homeplanet. There are some experiencesthat almost all people have in common. These experiences are a part of life here,on Planet Earth. People wake up. Sometimes they arehappy to wake up. Other times theywould like to be able to sleep longer. That is Life on Planet Earth. People live in homes. Sometimes everything works, other times something needs to be fixed. That is Life on Planet Earth. People often go places. Sometimes they arrive exactly on time. Sometimes they arrive late. Sometimes people arrive early. That is Life on Planet Earth. People make mistakes. Sometimes they make big mistakes. Sometimes they make littlemistakes. That is Life on Planet Earth. For all Planet Earth people, there are likely to be  Times when they are happy to wake up, and other times they would rather sleep  Days when everything works, and other days when something needs to be fixed  Times when they are on time, late, or early  They will make big mistakes and little ones, too. That is Life on Planet Earth. Because I am a Planet Earth person, there are likely to be  Times when I am happy to wake up, and other times I would rather sleep  Days when everything works, and other days when something needs to be fixed  Times when I am on time, late, or early It is likely that I may make big mistakes and little ones, too. That is Life on Planet Earth."
"security, scanner, stuff, worry, child","Moms, Dads, and Airport Security Sometimes, moms and dads are seri ous or stressed when they go through security at an airport. It helps children to know why this happens, and what their parents may be thinking or feel ing as they go through security. First, it is a little harder for a family with children to go through security. Fami lies have more stuff that they carry with them onto a plane. This stuff makes traveling with children easier and fun. It makes going through security a little stressful, though. Some items have to be unpacked and placed on the scanner. Moms and dads worry about getting everything through the scanner. They also worry about forgetting something when they repack everything afterwards. And, most important, they are keeping track of their children, too. They have a lot to do in a short time. Second, especially if there is a long line, parents are hoping their children really cooperate and follow the rules. When moms and dads start thinking about the people who are waiting in line behind them, it adds to their stress. This is because they know others want to get through security quickly. Sometimes, moms and dads may try to get their children to move faster. Their children, though, may be distracted by interesting things, like the conveyer belt and the security scanner. Families going through security are a little slower than others. Sometimes moms and dads may seem serious or stressed. Knowing why they feel this way is helpful information for their children."
"security, officer, direction, going, airport","Directions for Goingthrough SecurityFollowing directions when going through security is very important. Most people do not liketo go through security. It is just something they have to do if they want to ride on a plane. These are the directions for going through security If there is a line of people at any point in security, wait for a turn. If airport officers tell you to do something that is not on this list, do it. Show your boarding pass and identifica tion to the first officer. Put shoes and cases on the conveyer belt to go through the scanning machine. Place other things in the bins as directed. Walk through the short security tunnel. Put items back in their cases, put on shoes. Following the directions for going through security helps the airport officers find problempassengers or items. This helps to keep everyone safe."
"go, student, end, music, lesson","Where Does Everyone Go?The school day ends. Where does everyone go? My teacher may stop at a grocery store One student may go to a music lesson. before going home. Another student may go to baseball Sometimes a few students may play practice. together. Or, a student may go home to rest and have free time. When the school day ends, each person continues their day in their own way. n   PlanetEarth."
"emergency, nicholas, kendra, school, tornado","An Emergency?THE PEOPLE AT MY SCHOOLKNOW WHAT TO DOOnce in a while, there may be an emergencyat my school. An emergency is a dangerous, sometimesunexpected situation. In anemergency, people need to act right away. There are many kinds of school emergencies. Once, Kendra broke her arm when she fell on the playground. That was an emergency. Mr. Burns, our teacher, helped Kendra right away. He knew what to do. Kendra is okay now. Another time, Nicholas in Miss Keysers class was very sick. None of us expected that tohappen. All morning Nicholas was fine. All of a sudden, he was sick. Miss Keyser got helpright away. An ambulance took Nicholas to the hospital. Nicholas is okay now. Fires and tornadoes are very big school emergencies. In these emergencies, everybody in theschool needs to know what to do. Everyone has to act right away, at the same time. Therehas never been a fire at my school. There has never been a tornado, either. If there ever is afire or tornado, though, everyone in my school knows what to do. Once in a while there may be an emergency at my school. If there is, people in my schoolknow what to do."
"optional, sample, fort, room, able","Welcome to Fort Able Welcome to Fort Able, the strong and safe place in my brain. This is the first stop on the tour. I am the builder and owner of the place. I am able to do my best thinking here. I would like it if you could see it as I do, but it is not possible to squeeze you in through my ears, mouth, or nose. So, I will try to draw it for you, with three steps in front leading to the door. Many forts are built with strong materials like wood, blocks, or cement. In the brain, people build with ideas and imagination. This is Fort Able from the outside. Of course, the goal is to stay inside the Fort. THE PHOTO GALLERYSAMPLE optional The Photo Gallery This is the Photo Gallery. Photos of favorite people and fun times hang here. THE MEDIA ROOMSAMPLE optional The Media Room In my Fort Able, this is the Media Room. Favorite songs, movies, electronic games, and vid eos of fun times are stored here. THE SCRAPBOOKING ROOMSAMPLE optional The Scrapbooking Room This is the Scrapbooking Room. It is a room with anything and everything that has a comfort able meaning or memory. THE GYMNASIUMSAMPLE optional  I am really good at soccer. My parents love me a lot. My teacher says I am a good student. The New Social StoryTM Book, th Anniversary Edition by Carol Gray, Future Horizons, Inc. The Gymnasium This is the gymnasium. Healthy thoughts get exercise here. THE PEOPLE ON MY TEAMSAMPLE optional The People On My Team These are the people on My Team. They stand guard, and try to be ready to help me in hard times, and cheer me on in good ones. I hope you enjoyed the tour."
"disappointing, gift, angela, dinosaur, book","Some Gifts Are DisappointingMost of the time, a gift is a nice surprise. Once in a while, a gift may be disappointing. Thiscan happen when people give gifts to one another. Sometimes, disappointment is a surprising sadness. A person is happy and expecting something nice to happen. But it does not. That person is sad, and surprised to feel that way. Whenthis happens, disappointment is sadness that arrives fast and without warning. A gift may be disappointing when it is something that is not wanted. Here is an example. Charlie gives Angela a book about dinosaurs. But, Angela is not interested in dinosaurs. Shethinks dinosaurs are boring. For Angela, getting a book about dinosaurs is disappointing. A gift may be disappointing when it is something that is not needed. Here is an example. Parker likes rocks, and has a big collection of books about rocks. Parker gets a gift from his grandfather. It is a book about rocks. But Parker already has the book in his collection. He is disappointed because he does not need two books that are the same. A gift may also be disappointing if the person opening it is hoping to receive one thing, and gets something else. Angela is hoping to receive a Barbie doll for her birthday. She opens a gift from her grandmother. There are socks inside. Angela may be disappointed to see socks, because she was hoping to see a Barbie doll. Almost everyone is disappointed by a gift now and then. For this reason, parents teach their children about disappointing gifts. In this way, children learn what to think, say, and do when a gift is disappointing."
"gift, receive, free, nice, fun","Why Are Gifts Important?Most people like gifts. They like to give them, andthey like to receive them. Here are three reasons whygifts are important to people. First, a gift helps people celebrate and share theirfeelings. A gift may mean, I hope you have a happybirthday Or, it may mean, I love you, Thank you, orGood luck. It may mean something else, too, but itusually means something nice. That is why giving agift can be so much fun. Second, the person who receives the gift did nothave to make it, or use their money to buy it. It is free. Many people think it is fun to get something for free,especially when it is something that is useful or nice. Third, gifts help people remember friends, or family, and the fun times they have together. That is why many people keep the gifts that they receive for a long, timesometimes evenforever. Gifts help people share and remember good times and nice feelings."
"hello, greet, shake, hand, someone","How to Greet SomeoneThere are many ways to greet someone. When I see someone I know, especially if I am seeing that person for the first time that day,it is friendly to say hello. They may say hello, too. They may stop to talk with me. Sometimes people shake hands to say hello. Usually it is adults who shake hands to sayhello. For example, an adult may try to shake my hand if he or she is meeting me for thefirst time. This will happen more and more as I get older. Once in a while, I go to visit relatives or close friends. A short hug as I arrive means hello. Sometimes, if I am just passing someone I know, I may smile, wave, or just nod my head. IfI said hello to that person earlier in the day, smiling, waving, or nodding my head means,Hello again. This is a friendly thing to do. There are many ways to greetsomeone. I may think of other waysthat people greet one another n ."
"gift, giving, say, christmas, han","How to Give Someone a GiftIts important to learn how to give people gifts. Even though giving a gift is very nice, it may feel alittle awkward the first few times. Knowing what todo helps to make gift giving easier. When I give someone a gift, I only need to say afew words. For example, I may say, Here is a gift foryou, and maybe add to that, I hope that you likeit. If it is a birthday gift, I may say, Happy Birthday. If it is a Christmas gift, I may say, Merry ChristmasIf it is a gift for Hanukah, I may say, Happy HanukahOften people will say thank you before openinga gift. They do not even know what is inside, andthey are saying thank you already Why? Peopleknow it takes time to find and wrap a gift. Whatthey mean is, Thank you for thinking of me and taking the time to get and wrap a gift for me. Sometimes, people open a gift right away. Other times, they wait until a later time. At first, giving someone a gift may feel a little awkward. Learning what to do and say canhelp. It also helps to know what the other person may say or do. With practice, givingsomeone a gift becomes easier and more comfortable."
"age, bigger, compared, slow, growing","Children Grow Kind Of SlowChildren grow. Sometimes, an adult will look at a child and say, You are growing up so fast If children really grew really fast, their feet would be farther away every time they looked down Compared to many of the animals on Planet Earth, children grow kind of slow. Their bodies change little by little. Hamsters are adults at six months of age. Kittens become cats with in one to three years. Puppies become dogs between two and three years of age. Most people become adults between eighteen and twentyfive years of age. Children are busy people. So, they may not notice that they are growing. Then, one day their clothing or shoes are too small. When this happens, being bigger may seem a little surprising. Getting bigger is a part of growing up. Compared to some animals, children grow rather slow. That is why children often do not notice getting bigger until their clothes are too small."
"officer, airport, question, remove, boarding","What Airport Officers Say and MeanAirport officers ask questionsor tell people what to doas they go through security. Oncein a while or maybe more than that, an airport officer may ask a question to tell someonewhat to do. This may be a little confusing. Airport officers do this because they want to bepolite as they watch for problem items and people. This results in friendly questions withoutchoices questions that give a direction. Knowing about questions that are really directionshelps passengers to do the right thing, at the right time. Here are some examples An airport officer may say, May I see your boarding pass? This means, You must show me your boarding pass now. An airport officer may say, May I look in your bag? This means, I need to look in your bag. If you say no, you may not be getting on the plane. An airport officer may say, Would you please remove your belt and walk through the scanner again? This means, Remove your belt and walk through the scanner. Airport officers try to be friendly while doing a very, veryserious job. Knowing that this may cause them to usefriendly questions to give nochoice directions helpseveryone get through security more easily."
"bully, student, bullying, predict, exactly","What Is Bullying? Some students try to bully others by making them feel uncomfortable, frightened, or sad. They try to bully students who are smaller or who have less power. How can I know if some one is trying to bully me? It may be bullying if someone  Says something to me that is not kind, not true, or frightening  Calls me by a name that is not mine, or that is unkind  Writes messages that are not kind or that frighten me  Hurts my body for example, hits, trips, kicks, shoves, or pushes me  Tells other students not to talk or play with me  Asks me to do something that I know an adult would not ask,  or want me to do  Tells me to give them money, and not to tell an adult about it  Makes the same or similar mistake many times, over and over  There are many other ways that a student may bully, too. No one can predict exactly whensomeone may try to bully another person. No one can predict exactly what a student maydo in a bullying attempt. What we do know is that students who bully are out of control. It is important to know what to think, say, and do if someone tries to bully me. That way, Iwill be ready whatever the student who bullies tries to do."
"riding, flight, airplane, soon, jordan","Im Taking a FlightMy name is Jordan. Mom and Dad told me that I willbe taking a flight with them soon. That means that Iwill be riding in an airplane. There is a lot to know about flying in an airplane. Ihave a set of stories to help. I am riding on a plane soon. People will probably besaying to me, Have a good flight n ."
"bully, student, face, confusing, wrong","Which Students Try to Bully Others? Bullying can be very confusing. Getting more information can help. A student who bullies may be a boy or a girl. A student who bullies may be older or younger than me. A student who bullies may be alone or with others. A student who bullies may  Do something that makes other students laugh  Do something that causes an adult to feel upset or angry  Do something that I know is wrong, or that I guess may be wrong  Use an unkind face and words  Use a friendly face and confusing words If I feel confused or have questions about bullying, it is a smart decision to get more informa tion from adults. Adults were children many years ago. They remember students who bullied them. An adult can help me decide if someone is trying to bully me."
"crew, copilot, pilot, plane, cabin","Who Are the Crew? Every flight has a crew. Most crews have a pilot, copilot, and one or more flight atten dants. They wear uniforms. That way, passengers know which people are members of the crew. The pilot and copilot fly the plane. They have studied and practiced to learn how to fly a plane. The pilot and copilot work near the front of the plane in the cockpit. It is their job to fly the plane and to lead the crew. Flight attendants work in the cabin of the airplane. They studied and practiced to learn how to keep pas sengers comfortable and safe. The cabin has a small kitchen, one or more bathrooms, and many seats for passengers. The crew works to keep passengers comfortable and safe."
"jet, passenger, line, seat, plane","Jet Way Lines May Be Slow at Times Planes fly in and out of airports. Many times a jet way is used to connect an airplane to an airport. People walk in the jet way to get onto a plane. Sometimes, passengers need to stop and wait in the jet way. Knowing why this happens helps people stay calm. Passenger airplanes have many seats. This gives each person a place to sit on the plane. It does not leave a lot of room for people to walk. When fifty, one hundred, or more people get on a plane, the aisle fills up very quickly. A line forms out into the jet way. Meanwhile, other passengers are already in the airplane, getting settled into their seats. Sometimes they have to take off their coats, put their luggage away, or help another passenger. All of this takes time, especially when there are a lot of passengers. Jet way lines can be slow at times. Jet way lines often stop, then move, then stop, then move. Even so, it is the fastest way to get many people with bags and luggage down one aisle and into their seats. Most passengers would rather be in their seats than standing in a slow jet way line. They may feel a little uncomfortable or frustrated. It is important to try to stay calm. Sometimes thinking can help. Passengers may think, This is what happens when two hundred people get on an airplane, or, The line will move again soon, or, Others will wait for me when I am getting settled into my seat. Thinking to stay calm in a jet way is smart. I may use a jet way to get onto a plane. If there are many people, the line may move slowly. The line of people, with me in it, may need to stop and wait now and then. This is okay. I will try to think to stay calm. This is smart for me, and helpful for the passengers around me."
"wear, underwear, pull, ups, someday","Someday I Will Wear Underwear  My name is Jonathan. I am learning about toilets. First, children wear pullups. Then they wear underwear. I wear pullups. Someday I will wear underwear."
"gift, wrapping, hide, surprise, wrapped","Why Do People Wrap Gifts? Many people wrap gifts before they give them away. Why do they do this? Wrapping hides a gift, and helps to keep it a secret. Later, when the gift is opened, it is a surprise. Many people think that nice surprises are fun. A wrapped gift is pretty. Sometimes, there is colorful paper, a bow, or a card. Many people think that wrapping a gift is a beautiful way to hide a surprise. Wrapped gifts are a part of celebrating special times and feelings. Wrapping a gift hides a surprise."
"disappointing, gift, disappointment, feeling, control","What to Think, Do, and SayIf a Gift Is DisappointingSomeday, I may open a disappointing gift. It may be my birthday. It may be during theholidays. Most people are disappointed by a gift now and then. When a gift is disappointing, knowing what to think may help. A disappointing gift is still a gift. Someone gave it to me. That person is hoping that I will like it. This is important to remember. When a gift is disappointing, knowing what to do may help. Disappointment is a feeling thatis best kept under my control. That way, I can be careful with the feelings of others. I will tryto take control of my disappointment, and keep the feelings of others safe. When a gift is disappointing, knowing what to say may help. I will try to say thank you. Thanking someone for a gifteven if the gift is disappointingis polite. Some gifts are disappointing. Learning what to think, do, and say can help me get controlof disappointment. With practice, I may be able to open a disappointing gift and keep thefeelings of others safe at the same time. n People Skills and Friendship."
"fire, wish, evacuate, life, would","People Would RatherStay in their Houses People evacuate a house because they have to leave. If they had a choice, they would choose to stay and do what they  usually do. They wish the fire was out. They wish their home was farther away from the fire. They wish the fire was under control. Wishing does not put a fire out, though. If it did, the fire would be out by now. By the time people grow to become adults, they have learned to do thingsthey do not want to do without whining or having a tantrum. They may feel sad, nervous,or uncomfortable, but they know it is important to keep thinking and working to keep theirfamily safe. Sometimes adults help themselves feel better by remembering that life is not always like this. They know that fires end and someday it will be possible to do the things that they usuallydo. That is when adults say things like, It will be nice when life gets back to normal. Thathelps them to remember life without wildfires, and they feel better. If my mom and dad say, It is time to evacuate, it is important to follow their direction."
